Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CFLT,Confluent Inc. Class A Common Stock,$38.42,-0.55,-1.411%,10486680410.00,United States,2021,1817895,Technology,EDP Services
CG,The Carlyle Group Inc. Common Stock,$44.26,0.15,0.34%,15770614365.00,United States,2012,1745606,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,$75.44,-0.58,-0.763%,13118408859.00,United States,1989,700190,Capital Goods,Industrial Machinery/Components
CHK,Chesapeake Energy Corporation Common Stock,$92.17,1.56,1.722%,11797603956.00,United States,,1886129,Energy,Oil & Gas Production
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$142.82,-1.26,-0.875%,18966241066.00,Israel,1996,1570946,Technology,Computer Software: Prepackaged Software
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$102.04,1.17,1.16%,12914655662.00,United States,1997,1668654,Transportation,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$557.60,5.12,0.927%,114251781095.00,United States,,1187128,Consumer Services,Television Services
CMCSA,Comcast Corporation Class A Common Stock,$47.42,0.27,0.573%,214965782012.00,United States,,18218417,Consumer Services,Television Services
CME,CME Group Inc. Class A Common Stock,$242.50,-1.80,-0.737%,87159979773.00,United States,2002,1258894,Finance,Investment Bankers/Brokers/Service
COIN,Coinbase Global Inc. Class A Common Stock,$160.94,-5.25,-3.159%,42150186000.00,United States,,2942612,Technology,EDP Services
COST,Costco Wholesale Corporation Common Stock,$600.04,-8.01,-1.317%,265952302972.00,United States,,3228484,Consumer Services,Department/Specialty Retail Stores
CPRT,Copart Inc. (DE) Common Stock,$125.64,0.76,0.609%,29839161149.00,United States,1994,1243479,Consumer Services,Other Specialty Stores
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$218.21,1.18,0.544%,50355854731.00,United States,2019,6729442,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$54.28,-0.35,-0.641%,225488239040.00,United States,1990,18148182,Technology,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,$63.52,-1.05,-1.626%,25089618958.00,United States,1998,2081405,Finance,Real Estate
CSX,CSX Corporation Common Stock,$34.33,-0.41,-1.18%,74790660669.00,United States,,11181390,Transportation,Railroads
CTAS,Cintas Corporation Common Stock,$429.12,-5.12,-1.179%,43948741476.00,United States,1983,333923,Miscellaneous,Business Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$88.96,1.15,1.31%,46662618299.00,United States,1998,2406800,Technology,EDP Services
CZR,Caesars Entertainment Inc. Common Stock,$68.98,-1.58,-2.239%,14770235650.00,United States,,3032223,Consumer Services,Hotels/Resorts
DDOG,Datadog Inc. Class A Common Stock,$134.29,-2.95,-2.15%,42154933479.00,United States,2019,2376737,Technology,EDP Services
DISH,DISH Network Corporation Class A Common Stock,$32.34,1.95,6.417%,17108241353.00,United States,1995,2774151,Consumer Services,Television Services
DLTR,Dollar Tree Inc. Common Stock,$162.92,4.31,2.717%,36674974801.00,United States,1995,2314626,Consumer Services,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$101.95,-0.77,-0.75%,20274680991.00,United States,2018,3901743,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$83.02,0.19,0.229%,10240849080.00,Guernsey,,519239,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,$505.99,-6.53,-1.274%,49278132333.00,United States,2005,374043,Health Care,Medical Specialities
EA,Electronic Arts Inc. Common Stock,$123.48,0.08,0.065%,34725325653.00,United States,,1282428,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$55.03,0.65,1.195%,32331716192.00,United States,1998,3747426,Consumer Services,Catalog/Specialty Distribution
ENPH,Enphase Energy Inc. Common Stock,$195.14,-11.81,-5.707%,26136187910.00,United States,2012,1819168,Capital Goods,Electrical Products
ENTG,Entegris Inc. Common Stock,$109.32,-5.42,-4.724%,14850474279.00,United States,2000,1231286,Technology,Semiconductors
EQIX,Equinix Inc. Common Stock REIT,$768.78,9.55,1.258%,69744520362.00,United States,2000,367745,Consumer Services,Real Estate Investment Trusts
ERIC,Ericsson American Depositary Shares,$9.66,0.07,0.73%,32169175864.00,Sweden,,14149420,Technology,Computer Software: Prepackaged Software
ETSY,Etsy Inc. Common Stock,$116.58,-4.37,-3.613%,14809500845.00,United States,2015,3666259,Consumer Services,Catalog/Specialty Distribution
EWBC,East West Bancorp Inc. Common Stock,$76.17,0.26,0.343%,10809171511.00,United States,,774370,Finance,Commercial Banks
EXAS,Exact Sciences Corporation Common Stock,$67.31,-1.26,-1.838%,11719788211.00,United States,2001,883795,Health Care,Biotechnology: Commercial Physical & Biological Resarch
